'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY DESCRIPTION','BODY SYSTEM'
'6038 ',"HYDROCELE NEC",'0','10'
'6039 ',"HYDROCELE NOS",'0','10'
'6040 ',"ORCHITIS WITH ABSCESS",'0','10'
'60490',"ORCHITIS/EPIDIDYMIT NOS",'0','10'
'60491',"ORCHITIS IN OTH DISEASE",'0','10'
'60499',"ORCHITIS/EPIDIDYMIT NEC",'0','10'
'605  ',"REDUN PREPUCE & PHIMOSIS",'0','10'
'6060 ',"AZOOSPERMIA",'0','10'
'6061 ',"OLIGOSPERMIA",'0','10'
'6068 ',"MALE INFERTILITY NEC",'0','10'
'6069 ',"MALE INFERTILITY NOS",'0','10'
'6070 ',"LEUKOPLAKIA OF PENIS",'1','10'
'6071 ',"BALANOPOSTHITIS",'1','10'
'6072 ',"INFLAM DIS PENIS NEC",'1','10'
'6073 ',"PRIAPISM",'1','10'
'60781',"BALANITIS XEROTICA OBLIT",'1','10'
'60782',"VASCULAR DISORDER PENIS",'1','10'
'60783',"EDEMA OF PENIS",'1','10'
'60784',"IMPOTENCE ORGANIC ORIGN",'1','10'
'60785',"PEYRONIES DISEASE (Begin 2003)",'1','10'
'60789',"DISORDER OF PENIS NEC",'1','10'
'6079 ',"DISORDER OF PENIS NOS",'1','10'
'6080 ',"SEMINAL VESICULITIS",'0','10'
'6081 ',"SPERMATOCELE",'0','10'
'6082 ',"TORSION OF TESTIS",'0','10'
'60820',"TORSION OF TESTIS NOS (Begin 2006)",'0','10'
'60821',"EXTRAVAG TORS SPERM CORD (Begin 2006)",'0','10'
'60822',"INTRAVAG TORS SPERM CORD (Begin 2006)",'0','10'
'60823',"TORSION APPENDIX TESTIS (Begin 2006)",'0','10'
'60824',"TORSION APPY EPIDIDYMIS (Begin 2006)",'0','10'
'6083 ',"ATROPHY OF TESTIS",'0','10'
'6084 ',"MALE GEN INFLAM DIS NEC",'0','10'
'60881',"MALE GEN DIS IN OTH DIS",'0','10'
'60882',"HEMATOSPERMIA (Begin 2001)",'0','10'
'60883',"MALE GEN VASCUL DIS NEC",'0','10'
'60884',"CHYLOCELE TUNIC VAGINAL",'0','10'
'60885',"STRICTURE MALE GEN ORGN",'0','10'
'60886',"EDEMA MALE GENITAL ORGN",'0','10'
'60887',"RETROGRADE EJACULATION (Begin 2001)",'0','10'
'60889',"MALE GENITAL DIS NEC",'0','10'
'6089 ',"MALE GENITAL DIS NOS",'0','10'
'6100 ',"SOLITARY CYST OF BREAST",'0','10'
'6101 ',"DIFFUS CYSTIC MASTOPATHY",'1','10'
'6102 ',"FIBROADENOSIS OF BREAST",'1','10'
'6103 ',"FIBROSCLEROSIS OF BREAST",'1','10'
'6104 ',"MAMMARY DUCT ECTASIA",'1','10'
'6108 ',"BENIGN MAMM DYSPLAS NEC",'0','10'
'6109 ',"BENIGN MAMM DYSPLAS NOS",'0','10'
'6110 ',"INFLAM DISEASE OF BREAST",'0','10'
'6111 ',"HYPERTROPHY OF BREAST",'0','10'
'6112 ',"FISSURE OF NIPPLE",'0','10'
'6113 ',"FAT NECROSIS OF BREAST",'0','10'
'6114 ',"ATROPHY OF BREAST",'0','10'
'6115 ',"GALACTOCELE",'0','10'
'6116 ',"GALACTORRHEA-NONOBSTET",'0','10'
'61171',"MASTODYNIA",'0','10'
'61172',"LUMP OR MASS IN BREAST",'0','10'
'61179',"SYMPTOMS IN BREAST NEC",'0','10'
'6118 ',"BREAST DISORDERS NEC (end 2008)",'0','10'
'61181',"PTOSIS OF BREAST (begin 2008)",'0','10'
'61182',"HYPOPLASIA OF BREAST (begin 2008)",'0','10'
'61183',"CAPSLR CONTRCTR BRST IMP (begin 2008)",'0','10'
'61189',"DISORDERS BREAST NEC (begin 2008)",'0','10'
'6119 ',"BREAST DISORDER NOS-",'0','10'
'6120 ',"DEFORMITY RECONST BREAST (begin 2008)",'0','10'
'6121 ',"DISPROPORTN RECONST BRST (begin 2008)",'0','10'
'6140 ',"AC SALPINGO-OOPHORITIS",'0','10'
'6141 ',"CHR SALPINGO-OOPHORITIS",'1','10'
'6142 ',"SALPINGO-OOPHORITIS NOS",'0','10'
'6143 ',"ACUTE PARAMETRITIS",'0','10'
'6144 ',"CHRONIC PARAMETRITIS",'1','10'
'6145 ',"AC PELV PERITONITIS-FEM",'0','10'
'6146 ',"FEM PELVIC PERITON ADHES",'0','10'
'6147 ',"CHR PELV PERITON NEC-FEM",'1','10'
'6148 ',"FEM PELV INFLAM DIS NEC",'0','10'
'6149 ',"FEM PELV INFLAM DIS NOS",'0','10'
'6150 ',"AC UTERINE INFLAMMATION",'0','10'
'6151 ',"CHR UTERINE INFLAMMATION",'1','10'
'6159 ',"UTERINE INFLAM DIS NOS",'0','10'
'6160 ',"CERVICITIS",'0','10'
'61610',"VAGINITIS NOS",'0','10'
'61611',"VAGINITIS IN OTH DISEASE",'0','10'
'6162 ',"'BARTHOLIN'S GLAND CYST'",'0','10'
'6163 ',"'BARTHOLIN'S GLND ABSCESS'",'0','10'
'6164 ',"ABSCESS OF VULVA NEC",'0','10'
'61650',"ULCERATION OF VULVA NOS",'0','10'
'61651',"VULVAR ULCER IN OTH DIS",'0','10'
'6168 ',"FEMALE GEN INFLAM NEC",'0','10'
'61681',"MUCOSITIS CERVVAGVULVA (Begin 2006)",'0','10'
'61689',"INFLM CERVVAGVULVA NEC (Begin 2006)",'0','10'
'6169 ',"FEMALE GEN INFLAM NOS",'0','10'
'6170 ',"UTERINE ENDOMETRIOSIS",'1','10'
'6171 ',"OVARIAN ENDOMETRIOSIS",'1','10'
'6172 ',"TUBAL ENDOMETRIOSIS",'1','10'
'6173 ',"PELV PERIT ENDOMETRIOSIS",'1','10'
'6174 ',"VAGINAL ENDOMETRIOSIS",'1','10'
'6175 ',"INTESTINAL ENDOMETRIOSIS",'1','10'
'6176 ',"ENDOMETRIOSIS IN SCAR",'1','10'
'6178 ',"ENDOMETRIOSIS NEC",'1','10'
'6179 ',"ENDOMETRIOSIS NOS",'1','10'
'6180 ',"PROLAPSE OF VAGINAL WALL  (End 2004)",'1','10'
'61800',"VAGINAL WALL PROLPSE NOS (Begin 2004)",'1','10'
'61801',"CYSTOCELE MIDLINE (Begin 2004)",'1','10'
'61802',"CYSTOCELE LATERAL (Begin 2004)",'1','10'
'61803',"URETHROCELE (Begin 2004)",'1','10'
'61804',"RECTOCELE (Begin 2004)",'1','10'
'61805',"PERINEOCELE (Begin 2004)",'1','10'
'61809',"CYSTOURETHROCELE (Begin 2004)",'1','10'
'6181 ',"UTERINE PROLAPSE",'1','10'
'6182 ',"UTEROVAG PROLAPS-INCOMPL",'1','10'
'6183 ',"UTEROVAG PROLAPS-COMPLET",'1','10'
'6184 ',"UTERVAGINAL PROLAPSE NOS",'1','10'
'6185 ',"POSTOP VAGINAL PROLAPSE",'1','10'
'6186 ',"VAGINAL ENTEROCELE",'1','10'
'6187 ',"OLD LACER PELVIC MUSCLE",'1','10'
'6188 ',"GENITAL PROLAPSE NEC  (End 2004)",'1','10'
'61881',"INCOMPTNCE PUBOCERV TISS (Begin 2004)",'1','10'
'61882',"INCOMPTNCE RECTOVAG TISS (Begin 2004)",'1','10'
'61883',"PELVIC MUSCLE WASTING (Begin 2004)",'1','10'
'61884',"CERVICAL STUMP PROLAPSE (Begin 2006)",'1','10'
'61889',"GENITAL PROLAPSE NEC (Begin 2004)",'1','10'
'6189 ',"GENITAL PROLAPSE NOS",'1','10'
'6190 ',"URIN-GENITAL FISTUL FEM",'1','10'
'6191 ',"DIGEST-GENIT FISTUL FEM",'1','10'
'6192 ',"GENITAL-SKIN FISTUL FEM",'1','10'
'6198 ',"FEM GENITAL FISTULA NEC",'1','10'
'6199 ',"FEM GENITAL FISTULA NOS",'1','10'
'6200 ',"FOLLICULAR CYST OF OVARY",'0','10'
'6201 ',"CORPUS LUTEUM CYST",'0','10'
'6202 ',"OVARIAN CYST NEC/NOS",'0','10'
'6203 ',"ACQ ATROPHY OVARY & TUBE",'0','10'
'6204 ',"PROLAPSE OF OVARY & TUBE",'0','10'
'6205 ',"TORSION OF OVARY OR TUBE",'0','10'
'6206 ',"BROAD LIGAMENT LACER SYN",'0','10'
'6207 ',"BROAD LIGAMENT HEMATOMA",'0','10'
'6208 ',"NONINFL DIS OVA/ADNX NEC",'0','10'
'6209 ',"NONINFL DIS OVA/ADNX NOS",'0','10'
'6210 ',"POLYP OF CORPUS UTERI",'0','10'
'6211 ',"CHR UTERINE SUBINVOLUTN",'0','10'
'6212 ',"HYPERTROPHY OF UTERUS",'0','10'
'6213 ',"ENDOMETRIAL HYPERPLASIA  (End 2004)",'1','10'
'62130',"ENDOMETRIAL HYPERPLASIA NOS (Begin 2004)",'1','10'
'62131',"SIMP ENDO HYPER W/O ATYP (Begin 2004)",'1','10'
'62132',"COMP ENDO HYPER W/O ATYP (Begin 2004)",'1','10'
'62133',"ENDOMET HYPERPLA W ATYP (Begin 2004)",'1','10'
'62134',"Ben endomet hyperplasia (begin 2009)",'1','10'
'62135',"Endomet intraepithl neop (begin 2009)",'1','10'
'6214 ',"HEMATOMETRA",'0','10'
'6215 ',"INTRAUTERINE SYNECHIAE",'0','10'
'6216 ',"MALPOSITION OF UTERUS",'0','10'
'6217 ',"CHR INVERSION OF UTERUS",'0','10'
'6218 ',"DISORDERS OF UTERUS NEC",'0','10'
'6219 ',"DISORDER OF UTERUS NOS",'0','10'
'6220 ',"EROSION/ECTROPION CERVIX",'0','10'
'6221 ',"DYSPLASIA OF CERVIX  (End 2004)",'0','10'
'62210',"DYSPLASIA OF CERVIX NOS (Begin 2004)",'0','10'
'62211',"MILD DYSPLASIA OF CERVIX (Begin 2004)",'0','10'
'62212',"MOD DYSPLASIA OF CERVIX (Begin 2004)",'0','10'
'6222 ',"LEUKOPLAKIA OF CERVIX",'0','10'
'6223 ',"OLD LACERATION OF CERVIX",'0','10'
'6224 ',"STRICTURE OF CERVIX",'0','10'
'6225 ',"INCOMPETENCE OF CERVIX",'0','10'
'6226 ',"HYPERTROPHIC ELONG CERVX",'0','10'
'6227 ',"MUCOUS POLYP OF CERVIX",'0','10'
'6228 ',"NONINFLAM DIS CERVIX NEC",'0','10'
'6229 ',"NONINFLAM DIS CERVIX NOS",'0','10'
'6230 ',"DYSPLASIA OF VAGINA",'0','10'
'6231 ',"LEUKOPLAKIA OF VAGINA",'0','10'
'6232 ',"STRICTURE OF VAGINA",'0','10'
'6233 ',"TIGHT HYMENAL RING",'0','10'
'6234 ',"OLD VAGINAL LACERATION",'0','10'
'6235 ',"NONINFECT VAG LEUKORRHEA",'0','10'
'6236 ',"VAGINAL HEMATOMA",'0','10'
'6237 ',"POLYP OF VAGINA",'0','10'
'6238 ',"NONINFLAM DIS VAGINA NEC",'0','10'
'6239 ',"NONINFLAM DIS VAGINA NOS",'0','10'
'6240 ',"DYSTROPHY OF VULVA (End 2007)",'0','10'
'62401',"VULVAR INTRAEPH NEOPL I (Begin 2007)",'0','10'
'62402',"VULVR INTRAEPTH NEOPL II (Begin 2007)",'0','10'
'62409',"DYSTROPHY OF VULVA NEC (Begin 2007)",'0','10'
'6241 ',"ATROPHY OF VULVA",'0','10'
'6242 ',"HYPERTROPHY OF CLITORIS",'0','10'
'6243 ',"HYPERTROPHY OF LABIA",'0','10'
'6244 ',"OLD LACERATION OF VULVA",'0','10'
'6245 ',"HEMATOMA OF VULVA",'0','10'
'6246 ',"POLYP OF LABIA AND VULVA",'0','10'
'6248 ',"NONINFLAM DIS VULVA NEC",'0','10'
'6249 ',"NONINFLAM DIS VULVA NOS",'0','10'
'6250 ',"DYSPAREUNIA",'1','10'
'6251 ',"VAGINISMUS",'0','10'
'6252 ',"MITTELSCHMERZ",'1','10'
'6253 ',"DYSMENORRHEA",'1','10'
'6254 ',"PREMENSTRUAL TENSION",'1','10'
'6255 ',"PELVIC CONGESTION SYND",'0','10'
'6256 ',"FEM STRESS INCONTINENCE",'1','10'
'62570',"VULVODYNIA NOS (begin 2008)",'1','10'
'62571',"VULVAR VESTIBULITIS (begin 2008)",'1','10'
'62579',"OTHER VULVODYNIA (begin 2008)",'1','10'
'6258 ',"FEM GENITAL SYMPTOMS NEC",'0','10'
'6259 ',"FEM GENITAL SYMPTOMS NOS",'0','10'
'6260 ',"ABSENCE OF MENSTRUATION",'1','10'
'6261 ',"SCANTY MENSTRUATION",'1','10'
'6262 ',"EXCESSIVE MENSTRUATION",'1','10'
'6263 ',"PUBERTAL MENORRHAGIA",'1','10'
'6264 ',"IRREGULAR MENSTRUATION",'1','10'
'6265 ',"OVULATION BLEEDING",'1','10'
'6266 ',"METRORRHAGIA",'1','10'
'6267 ',"POSTCOITAL BLEEDING",'1','10'
'6268 ',"MENSTRUAL DISORDER NEC",'1','10'
'6269 ',"MENSTRUAL DISORDER NOS",'1','10'
'6270 ',"PREMENOPAUSE MENORRHAGIA",'1','10'
'6271 ',"POSTMENOPAUSAL BLEEDING",'1','10'
'6272 ',"FEMALE CLIMACTERIC STATE",'1','10'
'6273 ',"ATROPHIC VAGINITIS",'1','10'
'6274 ',"ARTIFIC MENOPAUSE STATES",'1','10'
'6278 ',"MENOPAUSAL DISORDER NEC",'1','10'
'6279 ',"MENOPAUSAL DISORDER NOS",'1','10'
'6280 ',"INFERTILITY-ANOVULATION",'1','10'
'6281 ',"INFERTIL-PITUITARY ORIG",'1','10'
'6282 ',"INFERTILITY-TUBAL ORIGIN",'1','10'
'6283 ',"INFERTILITY-UTERINE ORIG",'1','10'
'6284 ',"INFERTIL-CERVICAL ORIG",'1','10'
'6288 ',"FEMALE INFERTILITY NEC",'1','10'
'6289 ',"FEMALE INFERTILITY NOS",'1','10'
'6290 ',"HEMATOCELE FEMALE NEC",'0','10'
'6291 ',"HYDROCELE CANAL NUCK-FEM",'0','10'
'62920',"GENITAL MUTILATION NOS (Begin 2004)",'1','10'
'62921',"GENITAL MUTILATN TYPE I (Begin 2004)",'1','10'
'62922',"GENITAL MUTILATN TYPE II (Begin 2004)",'1','10'
'62923',"GENITAL MUILATN TYPE III (Begin 2004)",'1','10'
'62929',"FEM GENITAL MUTILATE NEC (Begin 2006)",'1','10'
'62931',"Eros imp vag mesh in tis (begin 2011)",'0','10'
'62932',"Exp imp vag mesh-vagina (begin 2011)",'0','10'
'6298 ',"FEMALE GENITAL DIS NEC",'0','10'
'62981',"HAB ABORTR W/O CURR PREG (Begin 2006)",'0','10'
'62989',"FEMALE GENITAL DISOR NEC (Begin 2006)",'0','10'
'6299 ',"FEMALE GENITAL DIS NOS",'0','10'
'630  ',"HYDATIDIFORM MOLE",'0','11'
'631  ',"OTH ABN PROD CONCEPTION (end 2011)",'0','11'
'6310 ',"Inapp chg hCG early preg (begin 2011)",'0','11'
'6318 ',"Oth abn prod conception (begin 2011)",'0','11'
'632  ',"MISSED ABORTION",'0','11'
'6330 ',"ABDOMINAL PREGNANCY  (End 2002)",'0','11'
'63300',"ABDOMINAL PREG W/O INTRAUTERINE PREG (Begin 2002)",'0','11'
'63301',"ABDOMINAL PREG WITH INTRAUTERINE PREG (Begin 2002)",'0','11'
'6331 ',"TUBAL PREGNANCY  (End 2002)",'0','11'
'63310',"TUBAL PREGNANCY W/O INTRAUTERINE PREG (Begin 2002)",'0','11'
'63311',"TUBAL PREGNANCY WITH INTRAUTERINE PREG (Begin 2002)",'0','11'
'6332 ',"OVARIAN PREGNANCY  (End 2002)",'0','11'
'63320',"OVARIAN PREGNCY W/O INTRAUTERINE PREG (Begin 2002)",'0','11'
'63321',"OVARIAN PREGNANCY W/ INTRAUTERINE PREG (Begin 2002)",'0','11'
'6338 ',"ECTOPIC PREGNANCY NEC  (End 2002)",'0','11'
'63380',"OT ECTOPIC PREGNANCY W/O INTRAU PREG (Begin 2002)",'0','11'
'63381',"OT ECTOPIC PREGNANCY WITH INTRAU PREG (Begin 2002)",'0','11'
'6339 ',"ECTOPIC PREGNANCY NOS  (End 2002)",'0','11'
'63390',"UNSPEC ECTOPIC PREG W/O INTRAU PREG (Begin 2002)",'0','11'
'63391',"UNSPEC ECTOPIC PREG WITH INTRAU PREG (Begin 2002)",'0','11'
'63400',"SPON ABOR W PEL INF-UNSP",'0','11'
'63401',"SPON ABOR W PELV INF-INC",'0','11'
'63402',"SPON ABOR W PEL INF-COMP",'0','11'
'63410',"SPON ABORT W HEMORR-UNSP",'0','11'
'63411',"SPON ABORT W HEMORR-INC",'0','11'
'63412',"SPON ABORT W HEMORR-COMP",'0','11'
'63420',"SPON AB W PEL DAMAG-UNSP",'0','11'
'63421',"SPON AB W PELV DAMAG-INC",'0','11'
'63422',"SPON AB W PEL DAMAG-COMP",'0','11'
'63430',"SPON AB W REN FAIL-UNSP",'0','11'
'63431',"SPON AB W REN FAIL-INC",'0','11'
'63432',"SPON AB W REN FAIL-COMP",'0','11'
'63440',"SPON AB W METAB DIS-UNSP",'0','11'
'63441',"SPON AB W METAB DIS-INC",'0','11'
'63442',"SPON AB W METAB DIS-COMP",'0','11'
'63450',"SPON ABORT W SHOCK-UNSP",'0','11'
'63451',"SPON ABORT W SHOCK-INC",'0','11'
'63452',"SPON ABORT W SHOCK-COMP",'0','11'
'63460',"SPON ABORT W EMBOL-UNSP",'0','11'
'63461',"SPON ABORT W EMBOL-INC",'0','11'
'63462',"SPON ABORT W EMBOL-COMP",'0','11'
'63470',"SPON AB W COMPL NEC-UNSP",'0','11'
'63471',"SPON AB W COMPL NEC-INC",'0','11'
'63472',"SPON AB W COMPL NEC-COMP",'0','11'
'63480',"SPON AB W COMPL NOS-UNSP",'0','11'
'63481',"SPON AB W COMPL NOS-INC",'0','11'
'63482',"SPON AB W COMPL NOS-COMP",'0','11'
'63490',"SPON ABORT UNCOMPL-UNSP",'0','11'
'63491',"SPON ABORT UNCOMPL-INC",'0','11'
'63492',"SPON ABORT UNCOMPL-COMP",'0','11'
'63500',"LEG ABOR W PELV INF-UNSP",'0','11'
'63501',"LEG ABOR W PELV INF-INC",'0','11'
'63502',"LEG ABOR W PELV INF-COMP",'0','11'
'63510',"LEGAL ABOR W HEMORR-UNSP",'0','11'
'63511',"LEGAL ABORT W HEMORR-INC",'0','11'
'63512',"LEGAL ABOR W HEMORR-COMP",'0','11'
'63520',"LEG AB W PELV DAMAG-UNSP",'0','11'
'63521',"LEG AB W PELV DAMAG-INC",'0','11'
'63522',"LEG AB W PELV DAMAG-COMP",'0','11'
'63530',"LEG ABOR W REN FAIL-UNSP",'0','11'
'63531',"LEG ABOR W REN FAIL-INC",'0','11'
'63532',"LEG ABOR W REN FAIL-COMP",'0','11'
'63540',"LEG AB W METAB DIS-UNSP",'0','11'
'63541',"LEG AB W METAB DIS-INC",'0','11'
'63542',"LEG AB W METAB DIS-COMP",'0','11'
'63550',"LEGAL ABORT W SHOCK-UNSP",'0','11'
'63551',"LEGAL ABORT W SHOCK-INC",'0','11'
'63552',"LEGAL ABORT W SHOCK-COMP",'0','11'
'63560',"LEGAL ABORT W EMBOL-UNSP",'0','11'
'63561',"LEGAL ABORT W EMBOL-INC",'0','11'
'63562',"LEGAL ABORT W EMBOL-COMP",'0','11'
'63570',"LEG AB W COMPL NEC-UNSP",'0','11'
'63571',"LEG AB W COMPL NEC-INC",'0','11'
'63572',"LEG AB W COMPL NEC-COMP",'0','11'
'63580',"LEG AB W COMPL NOS-UNSP",'0','11'
'63581',"LEG AB W COMPL NOS-INC",'0','11'
'63582',"LEG AB W COMPL NOS-COMP",'0','11'
'63590',"LEGAL ABORT UNCOMPL-UNSP",'0','11'
'63591',"LEGAL ABORT UNCOMPL-INC",'0','11'
'63592',"LEGAL ABORT UNCOMPL-COMP",'0','11'
'63600',"ILLEG AB W PELV INF-UNSP",'0','11'
'63601',"ILLEG AB W PELV INF-INC",'0','11'
'63602',"ILLEG AB W PELV INF-COMP",'0','11'
'63610',"ILLEG AB W HEMORR-UNSPEC",'0','11'
'63611',"ILLEG AB W HEMORR-INC",'0','11'
'63612',"ILLEG AB W HEMORR-COMP",'0','11'
'63620',"ILLEG AB W PEL DAMG-UNSP",'0','11'
'63621',"ILLEG AB W PEL DAMAG-INC",'0','11'
'63622',"ILLEG AB W PEL DAMG-COMP",'0','11'
'63630',"ILLEG AB W REN FAIL-UNSP",'0','11'
'63631',"ILLEG AB W REN FAIL-INC",'0','11'
'63632',"ILLEG AB W REN FAIL-COMP",'0','11'
'63640',"ILLEG AB W MET DIS-UNSP",'0','11'
'63641',"ILLEG AB W METAB DIS-INC",'0','11'
'63642',"ILLEG AB W MET DIS-COMP",'0','11'
'63650',"ILLEG ABORT W SHOCK-UNSP",'0','11'
'63651',"ILLEG ABORT W SHOCK-INC",'0','11'
'63652',"ILLEG ABORT W SHOCK-COMP",'0','11'
'63660',"ILLEG AB W EMBOLISM-UNSP",'0','11'
'63661',"ILLEG AB W EMBOLISM-INC",'0','11'
'63662',"ILLEG AB W EMBOLISM-COMP",'0','11'
'63670',"ILLG AB W COMPL NEC-UNSP",'0','11'
'63671',"ILLEG AB W COMPL NEC-INC",'0','11'
'63672',"ILLG AB W COMPL NEC-COMP",'0','11'
'63680',"ILLG AB W COMPL NOS-UNSP",'0','11'
'63681',"ILLEG AB W COMPL NOS-INC",'0','11'
'63682',"ILLG AB W COMPL NOS-COMP",'0','11'
'63690',"ILLEG ABORT UNCOMPL-UNSP",'0','11'
'63691',"ILLEG ABORT UNCOMPL-INC",'0','11'
'63692',"ILLEG ABORT UNCOMPL-COMP",'0','11'
'63700',"ABORT NOS W PEL INF-UNSP",'0','11'
'63701',"ABORT NOS W PEL INF-INC",'0','11'
'63702',"ABORT NOS W PEL INF-COMP",'0','11'
'63710',"ABORT NOS W HEMORR-UNSP",'0','11'
'63711',"ABORT NOS W HEMORR-INC",'0','11'
'63712',"ABORT NOS W HEMORR-COMP",'0','11'
'63720',"AB NOS W PELV DAMAG-UNSP",'0','11'
'63721',"AB NOS W PELV DAMAG-INC",'0','11'
'63722',"AB NOS W PELV DAMAG-COMP",'0','11'
'63730',"AB NOS W RENAL FAIL-UNSP",'0','11'
'63731',"AB NOS W RENAL FAIL-INC",'0','11'
'63732',"AB NOS W RENAL FAIL-COMP",'0','11'
'63740',"AB NOS W METAB DIS-UNSP",'0','11'
'63741',"AB NOS W METAB DIS-INC",'0','11'
'63742',"AB NOS W METAB DIS-COMP",'0','11'
'63750',"ABORT NOS W SHOCK-UNSP",'0','11'
'63751',"ABORT NOS W SHOCK-INC",'0','11'
'63752',"ABORT NOS W SHOCK-COMP",'0','11'
'63760',"AB NOS W EMBOLISM-UNSP",'0','11'
'63761',"AB NOS W EMBOLISM-INC",'0','11'
'63762',"AB NOS W EMBOLISM-COMP",'0','11'
'63770',"AB NOS W COMPL NEC-UNSP",'0','11'
'63771',"AB NOS W COMPL NEC-INC",'0','11'
'63772',"AB NOS W COMPL NEC-COMP",'0','11'
'63780',"AB NOS W COMPL NOS-UNSP",'0','11'
'63781',"AB NOS W COMPL NOS-INC",'0','11'
'63782',"AB NOS W COMPL NOS-COMP",'0','11'
'63790',"AB NOS UNCOMPLICAT-UNSP",'0','11'
'63791',"AB NOS UNCOMPLICAT-INC",'0','11'
'63792',"AB NOS UNCOMPLICAT-COMP",'0','11'
'6380 ',"ATTEM ABORT W PELVIC INF",'0','11'
'6381 ',"ATTEM ABORT W HEMORRHAGE",'0','11'
'6382 ',"ATTEM ABORT W PELV DAMAG",'0','11'
'6383 ',"ATTEM ABORT W RENAL FAIL",'0','11'
'6384 ',"ATTEM ABOR W METABOL DIS",'0','11'
'6385 ',"ATTEM ABORTION W SHOCK",'0','11'
'6386 ',"ATTEMP ABORT W EMBOLISM",'0','11'
'6387 ',"ATTEMP ABORT W COMPL NEC",'0','11'
'6388 ',"ATTEMP ABORT W COMPL NOS",'0','11'
'6389 ',"ATTEMPTED ABORT UNCOMPL",'0','11'
'6390 ',"POSTABORTION GU INFECT",'0','11'
'6391 ',"POSTABORTION HEMORRHAGE",'0','11'
'6392 ',"POSTABORT PELVIC DAMAGE",'0','11'
'6393 ',"POSTABORT RENAL FAILURE",'0','11'
'6394 ',"POSTABORT METABOLIC DIS",'0','11'
'6395 ',"POSTABORTION SHOCK",'0','11'
'6396 ',"POSTABORTION EMBOLISM",'0','11'
'6398 ',"POSTABORTION COMPL NEC",'0','11'
'6399 ',"POSTABORTION COMPL NOS",'0','11'
'64000',"THREATENED ABORT-UNSPEC",'0','11'
'64001',"THREATENED ABORT-DELIVER",'0','11'
'64003',"THREATEN ABORT-ANTEPART",'0','11'
'64080',"HEM EARLY PREG NEC-UNSP",'0','11'
'64081',"HEM EARLY PREG NEC-DELIV",'0','11'
'64083',"HEM EARLY PG NEC-ANTEPAR",'0','11'
'64090',"HEMORR EARLY PREG-UNSPEC",'0','11'
'64091',"HEM EARLY PREG-DELIVERED",'0','11'
'64093',"HEM EARLY PREG-ANTEPART",'0','11'
'64100',"PLACENTA PREVIA-UNSPEC",'0','11'
'64101',"PLACENTA PREVIA-DELIVER",'0','11'
'64103',"PLACENTA PREVIA-ANTEPART",'0','11'
'64110',"PLACENTA PREV HEM-UNSPEC",'0','11'
'64111',"PLACENTA PREV HEM-DELIV",'0','11'
'64113',"PLACEN PREV HEM-ANTEPART",'0','11'
'64120',"PREM SEPAR PLACEN-UNSPEC",'0','11'
'64121',"PREM SEPAR PLACEN-DELIV",'0','11'
'64123',"PREM SEPAR PLAC-ANTEPART",'0','11'
'64130',"COAG DEF HEMORR-UNSPEC",'0','11'
'64131',"COAG DEF HEMORR-DELIVER",'0','11'
'64133',"COAG DEF HEMORR-ANTEPART",'0','11'
'64180',"ANTEPART HEM NEC-UNSPEC",'0','11'
'64181',"ANTEPARTUM HEM NEC-DELIV",'0','11'
'64183',"ANTEPART HEM NEC-ANTEPAR",'0','11'
'64190',"ANTEPART HEM NOS-UNSPEC",'0','11'
'64191',"ANTEPARTUM HEM NOS-DELIV",'0','11'
'64193',"ANTEPART HEM NOS-ANTEPAR",'0','11'
'64200',"ESSEN HYPERTEN PREG-UNSP",'1','11'
'64201',"ESSEN HYPERTEN-DELIVERED",'1','11'
'64202',"ESSEN HYPERTEN-DEL W P/P",'1','11'
'64203',"ESSEN HYPERTEN-ANTEPART",'1','11'
'64204',"ESSEN HYPERTEN-POSTPART",'1','11'
'64210',"RENAL HYPERTEN PREG-UNSP",'1','11'
'64211',"RENAL HYPERTEN PG-DELIV",'1','11'
'64212',"RENAL HYPERTEN-DEL P/P",'1','11'
'64213',"RENAL HYPERTEN-ANTEPART",'1','11'
'64214',"RENAL HYPERTEN-POSTPART",'1','11'
'64220',"OLD HYPERTEN PREG-UNSPEC",'1','11'
'64221',"OLD HYPERTEN NEC-DELIVER",'1','11'
'64222',"OLD HYPERTEN-DELIV W P/P",'1','11'
'64223',"OLD HYPERTEN NEC-ANTEPAR",'1','11'
'64224',"OLD HYPERTEN NEC-POSTPAR",'1','11'
'64230',"TRANS HYPERTEN PREG-UNSP",'0','11'
'64231',"TRANS HYPERTEN-DELIVERED",'0','11'
'64232',"TRANS HYPERTEN-DEL W P/P",'0','11'
'64233',"TRANS HYPERTEN-ANTEPART",'0','11'
'64234',"TRANS HYPERTEN-POSTPART",'0','11'
'64240',"MILD/NOS PREECLAMP-UNSP",'0','11'
'64241',"MILD/NOS PREECLAMP-DELIV",'0','11'
'64242',"MILD PREECLAMP-DEL W P/P",'0','11'
'64243',"MILD/NOS PREECLAMP-ANTEP",'0','11'
'64244',"MILD/NOS PREECLAMP-P/P",'0','11'
'64250',"SEVERE PREECLAMP-UNSPEC",'0','11'
'64251',"SEVERE PREECLAMP-DELIVER",'0','11'
'64252',"SEV PREECLAMP-DEL W P/P",'0','11'
'64253',"SEV PREECLAMP-ANTEPARTUM",'0','11'
